Contact ID,Candidate Name,Company,Email,Phone,Schools,Address,City,State,Zip,Links,Files,Sources,Created At (GMT),Archived At (GMT) ,Posting Title,Posting Team,Posting Level,Archive Reason,Current Stage,Hired,Start Date,Snoozed Until,Profile Archive Reason,Requisition For Hire ID,Requisition For Hire Requisition Code,App ID
7c9dc123-65d9-4031-8d11-127ca045f9f0,Alec O'Moore,,aleco'moore@gmail.com,,,,Seattle,WA,,,21338490.pdf,LinkedIn,2019-09-05 14:23:20,2019-09-10 14:53:20,Software Engineer,Engineering,NYC,Underqualified,New lead,,,,Underqualified,,,3b4f5a21-2b58-4a30-8fd1-f0f24c2d8d79
4ed7ce77-1e2e-4614-b6e4-5523e84b6555,Paige Coffey,,paigecoffey@gmail.com,,,,Boston,MA,,,,Referral,2019-09-06 16:23:31,,Software Engineer,Engineering,NYC,Hired,Offer,2019-09-14 16:23:31,2019-09-30 00:00:00,,Hired,,,0d7fcb44-b8c9-49b1-99b4-dbf9c30edbfe
def4b96e-5eab-4420-970d-94e2c41faa19,Floyd Colon,,floydcolon@gmail.com,3152345678,,,New York,NY,,,27637576.pdf,Added manually,2019-09-07 11:27:57,2019-09-10 16:15:57,Software Engineer,Engineering,NYC,Withdrew,New lead,,,,Withdrew,,,1e23fa02-87b0-4d22-8e68-f517ce24b287
3a078281-444b-4f2f-b0e3-7a125f296853,Howard Kirby,Apple,howardkirby@gmail.com,,,,,,,,21763056.pdf,LinkedIn,2019-09-07 22:35:44,2019-09-21 23:22:11,Software Engineer,Engineering,NYC,Underqualified,Hiring Manager Interview,,,,Underqualified,,,8b9f15d7-13d6-4699-b4c3-4434d289f458
287eb48b-a45d-4427-ad83-6a92892e5c37,Elmer Townsend,,elmertownsend@gmail.com,,,,,,,linkedin.com/aleco'moore,21794875.pdf,LinkedIn,2019-09-08 04:08:19,2019-09-20 06:08:19,Software Engineer,Engineering,NYC,Underqualified,New lead,,,,Underqualified,,,3a89d06b-d870-48d4-8a5f-dc8c01b299c1
014a985c-c372-4eb3-86ce-98039a0fb827,Mason Richardson,,masonrichardson@gmail.com,,,,,,,linkedin.com/paigecoffey,33527446.pdf,LinkedIn,2019-09-08 20:11:50,2019-09-15 20:40:38,Software Engineer,Engineering,NYC,Underqualified,New lead,,,,Underqualified,,,31c23451-c97e-40f5-b52b-b6e1c90c6e18
03673ccb-6273-43c0-9b21-c1fdd86787ef,Malakai Shepard,,malakaishepard@gmail.com,(626) 456-7890,Oceanview Academy,,,,,linkedin.com/floydcolon,21853199.pdf,LinkedIn,2019-09-09 05:27:36,2019-09-15 05:50:06,Software Engineer,Engineering,NYC,Underqualified,New lead,,,,Underqualified,,,055ca02f-d6a1-4c7e-99f0-df2fcbde8f26
0cfb3a62-30b8-409b-852d-a377dcef96e2,Elif Foster,,eliffoster@gmail.com,,,,,,,linkedin.com/howardkirby,22465498.pdf,LinkedIn,2019-09-09 12:56:58,2019-09-10 13:26:58,Software Engineer,Engineering,NYC,Overqualified,New lead,,,,Overqualified,,,2f825745-420f-4b80-9b6c-59f859b17b2c
ce8988ef-d8d5-406f-9930-4d5565e26f9e,Shauna Rose,Microsoft Corporation,shaunarose@gmail.com,(303) 567-8901,,,,,,linkedin.com/elmertownsend,22925443.pdf,LinkedIn,2019-09-10 08:09:14,2019-09-22 08:31:23,Software Engineer,Engineering,NYC,Underqualified,New lead,,,,Underqualified,,,c95bc445-b451-4bba-8b4b-54411823188c
4be5d88d-cc1d-4bb3-80c6-607756b5188a,Justin Brady,,justinbrady@gmail.com,,,,,,,linkedin.com/masonrichardson,23139819.pdf,LinkedIn,2019-09-10 14:28:02,2019-09-18 15:04:02,Software Engineer,Engineering,NYC,Underqualified,New lead,,,,Underqualified,,,b0f4ed25-c1d1-42cc-bb27-16f7b3fa1427
0690e4eb-96b0-4b6b-92b8-43679afb6dfe,Hillman,"Tesla, Inc.",hillman@gmail.com,`-541-678-9012,,,,,,,23246831.pdf,LinkedIn,2019-09-11 09:14:31,2019-09-14 09:30:10,Software Engineer,Engineering,NYC,Work schedule,New lead,,,,Work schedule,,,d89fa689-cd89-47b6-98b7-38a5fd54fbe7
